text,sql
"Пробку пластиковую для бутылок","SELECT * FROM УпаковочныеМатериалы WHERE материал = 'пластик' AND изделие = 'пробка' AND назначение = 'бутылки';"
"Пескоструйную установку компрессорную","SELECT * FROM Инструменты WHERE инструмент = 'пескоструйная установка' AND привод = 'компрессорный';"
"Шариковую ручку металлическую","SELECT * FROM КанцелярскиеТовары WHERE товар = 'шариковая ручка' AND материал = 'металл';"
"Чайник электрический с подсветкой","SELECT * FROM БытоваяТехника WHERE устройство = 'чайник' AND питание = 'электрическое' AND подсветка = true;"
"Ремкомплект для замка входной двери","SELECT * FROM ЗамочноРигельнаяСистема WHERE изделие = 'ремкомплект' AND замочное_устройство = 'входная дверь';"
"Сетевой удлинитель с заземлением","SELECT * FROM Электротехника WHERE устройство = 'сетевой удлинитель' AND заземление = true;"
"Хрусталь праздничный бокал для шампанского","SELECT * FROM Посуда WHERE материал = 'хрусталь' AND праздник = true AND назначение = 'бокал для шампанского';"
"Шкаф-купе встроенный","SELECT * FROM Мебель WHERE изделие = 'шкаф-купе' AND конструкция = 'встроенный';"
"Верхнюю одежду зимнюю женскую","SELECT * FROM Одежда WHERE одежда = 'верхняя' AND сезон = 'зима' AND пол = 'женский';"
"Крючки анкерные металлические","SELECT * FROM Крепёж WHERE крепеж = 'крючок' AND фиксация = 'анкер' AND материал = 'металл';"
"Клещи плоскогубцы электрика","SELECT * FROM Инструменты WHERE инструмент = 'плоскогубцы' AND профилизация = 'электрика';"
"Светоотражающую ленту для пешеходов","SELECT * FROM Безопасность WHERE средство = 'светоотражающая лента' AND целевая_аудитория = 'пешеходы';"
"Набор кастрюль с крышкой","SELECT * FROM Посуда WHERE комплект = 'набор' AND изделие = 'кастрюля' AND крышка = true;"
"Вентилятор компьютерный охлаждающий","SELECT * FROM КомпьютерныеПринадлежности WHERE устройство = 'вентилятор' AND назначение = 'охлаждающий';"
"Держатель для смартфона магнитный","SELECT * FROM Аксессуары WHERE аксессуар = 'держатель' AND предназначение = 'смартфон' AND фиксация = 'магнитная';"
"Ножи кухонные поварские японские","SELECT * FROM Посуда WHERE изделие = 'нож' AND назначение = 'кухонный' AND специализация = 'повар' AND происхождение = 'Япония';"
"Шурупы саморезы оцинкованные","SELECT * FROM Крепёж WHERE крепеж = 'шуруп' AND специализированность = 'саморез' AND покрытие = 'оцинкованное';"
"Летнюю резину R16","SELECT * FROM Шины WHERE сезон = 'летняя' AND радиус = 'R16';"
"Рубашки классические мужская","SELECT * FROM Одежда WHERE одежда = 'рубашка' AND стиль = 'классическая' AND пол = 'мужской';"
"Органайзер для канцелярии деревянный","SELECT * FROM КанцелярскиеТовары WHERE товар = 'органайзер' AND назначение = 'канцелярия' AND материал = 'дерево';"
"Асфальт горячую смесь","SELECT * FROM СтроительныеМатериалы WHERE материал = 'асфальт' AND тип = 'горячая смесь';"
"Масло сливочное фермерское","SELECT * FROM Продукты WHERE продукт = 'сливочное масло' AND производитель = 'фермерский';"
"Защиту экрана смартфона закалённое стекло","SELECT * FROM Аксессуары WHERE аксессуар = 'защита экрана' AND материал = 'закалённое стекло' AND устройство = 'смартфон';"
"Фурнитуру мебельную хромированную","SELECT * FROM Инструменты WHERE инструмент = 'фурнитура' AND назначение = 'мебельная' AND покрытие = 'хром';"
"Блокнот скетчбук художественный","SELECT * FROM КанцелярскиеТовары WHERE товар = 'блокнот' AND стилистика = 'скетчбук' AND назначение = 'художественное';"
"Карабин для альпинизма с карабинным механизмом","SELECT * FROM АльпинистскоеСнаряжение WHERE снаряжение = 'карабин' AND механизм = 'карабинный';"
"Универсальные батарейки AA","SELECT * FROM Электротехника WHERE элемент = 'батарейка' AND типоразмер = 'AA';"
"Раскладной стол кухонный","SELECT * FROM Мебель WHERE изделие = 'стол' AND помещение = 'кухня' AND конструкция = 'раскладной';"
"Силовые тренажёры стационарные","SELECT * FROM СпортивныеТовары WHERE спортивный_товар = 'тренажёр' AND нагрузка = 'силовая' AND мобильность = 'стационарный';"
"Масло оливковое холодного отжима","SELECT * FROM Продукты WHERE продукт = 'оливковое масло' AND способ_производства = 'холодный отжим';"
"Плиты индукционные настольные","SELECT * FROM БытоваяТехника WHERE устройство = 'плита' AND нагревательный_элемент = 'индукционный' AND установка = 'настольная';"
"Палатку кемпинговую многокомнатную","SELECT * FROM Туризм WHERE палатка = true AND тип = 'кемпинговая' AND комната > 1;"
"Провод акустический многожильный","SELECT * FROM Электротехника WHERE провод = 'акустический' AND жилы > 1;"
"Приспособление для открывания банок","SELECT * FROM КанцелярскиеТовары WHERE приспособление = 'открывалка' AND назначение = 'банки';"
"Ароматизатор освежитель воздуха","SELECT * FROM ХозяйственныеТовары WHERE товар = 'ароматизатор' AND назначение = 'освежитель воздуха';"
"Широкий поясничный ремень мужской","SELECT * FROM Одежда WHERE одежда = 'ремень' AND ширина = 'широкий' AND пол = 'мужской';"
"Кнопки для фиксации ткани швейные","SELECT * FROM ШвейныеПринадлежности WHERE кнопка = true AND предназначение = 'фиксация ткани';"
"Солнцезащитные шторы рулонные","SELECT * FROM ДомашнийИнтерьер WHERE изделие = 'штора' AND солнечная_защита = true AND конструкция = 'рулонная';"
"Входную железную дверь","SELECT * FROM МежкомнатныеНаружныеДвери WHERE дверь = 'входная' AND материал = 'железо';"
"Подложку для тёплого пола теплоизоляционную","SELECT * FROM СтроительныеМатериалы WHERE материал = 'подложка' AND назначение = 'теплый пол' AND теплозащитные_свойства = true;"
"Изоленту ПВХ чёрного цвета","SELECT * FROM Электротехника WHERE изолирующий_материал = 'изолента' AND материал = 'ПВХ' AND цвет = 'чёрный';"
"Набор отвёрток крестообразных","SELECT * FROM Инструменты WHERE инструмент = 'отвёртка' AND комплект = true AND шлиц = 'крестообразный';"
"Шланг поливочный армированный","SELECT * FROM СадовоДомашнийИнтерьер WHERE шланг = true AND назначение = 'поливочный' AND усиление = 'армированный';"
"Ультратонкий телевизор OLED","SELECT * FROM Электроника WHERE устройство = 'телевизор' AND тип_экрана = 'OLED' AND толщина = 'ультратонкий';"
"Колючую проволоку для ограждения","SELECT * FROM Ограждения WHERE материал = 'проволока' AND характеристика = 'колючая';"
"Большой чемодан на четырёхколёсном ходу","SELECT * FROM Багаж WHERE багаж = 'чемодан' AND размер = 'большой' AND ход = 'четырехколёсный';"
"Софтбокс фотографический квадратный","SELECT * FROM ФотографическоеОборудование WHERE оборудование = 'софтбокс' AND форма = 'квадратный';"
"Запасной аккумулятор для камеры GoPro","SELECT * FROM Аксессуары WHERE аксессуар = 'аккумулятор' AND предназначение = 'GoPro';"
"Электрогенератор бензиновый","SELECT * FROM Электротехника WHERE устройство = 'электрогенератор' AND топливо = 'бензин';"
"Микрофибру для уборки стекла","SELECT * FROM ХозяйственныеТовары WHERE товар = 'микрофибра' AND назначение = 'уборка стекол';"
"Мельницу кофемолку ручную","SELECT * FROM БытоваяТехника WHERE устройство = 'мельница' AND измельчаемое = 'кофе' AND привод = 'ручной';"
"Налобный фонарь светодиодный","SELECT * FROM Освещение WHERE осветительный_прибор = 'налобный фонарь' AND освещение = 'светодиодное';"
"Корневую систему моркови","SELECT * FROM СельхозРесурсы WHERE ресурс = 'корневая система' AND культура = 'морковь';"
"Стерильную маску медицинскую","SELECT * FROM МедицинскиеИзделия WHERE маска = true AND стерильность = true AND медицинское_назначение = true;"
"Пижамы женские шелковые","SELECT * FROM Одежда WHERE одежда = 'пижама' AND пол = 'женский' AND материал = 'шелк';"
"Самокат электросамокат","SELECT * FROM Транспорт WHERE средство = 'самокат' AND двигатель = 'электрический';"
"Эмаль порошковую","SELECT * FROM ЛакокрасочныеМатериалы WHERE краска = 'эмаль' AND тип = 'порошковая';"
"Градусник инфракрасный бесконтактный","SELECT * FROM МедицинскиеИзделия WHERE измерительный_прибор = 'градусник' AND метод = 'инфракрасный' AND контактность = 'бесконтактный';"
"Укрывной материал спанбонд","SELECT * FROM СадовоДомашнийИнтерьер WHERE укрывной_материал = true AND тип = 'спанбонд';"
"Вилку для макаронных изделий","SELECT * FROM Посуда WHERE вилка = true AND предназначение = 'макаронные изделия';"
"Нити капроновые швейные","SELECT * FROM ШвейныеПринадлежности WHERE нить = true AND материал = 'капрон' AND назначение = 'швейное';"
"Ноутбук ультрабуки Intel Core i7","SELECT * FROM КомпьютерныеПринадлежности WHERE устройство = 'ноутбук' AND тип = 'ультрабук' AND процессор = 'Intel Core i7';"
"Шпатель гибкий малярный","SELECT * FROM Инструменты WHERE инструмент = 'шпатель' AND гибкость = true AND применение = 'малярное';"
"Торговый павильон модульный","SELECT * FROM МалыйБизнес WHERE сооружение = 'торговый павильон' AND конструкция = 'модульный';"
"Педали велокомплект","SELECT * FROM Велосипеды WHERE велозапчасть = 'педали' AND комплект = true;"
"Боксерские бинты эластичные","SELECT * FROM СпортивныеТовары WHERE спортивный_товар = 'бинт' AND вид_спорта = 'бокс' AND эластичность = true;"
"Электронные сигареты компактные","SELECT * FROM ЭлектронныеТовары WHERE устройство = 'электронная сигарета' AND компактность = true;"
"Бутылку питьевой воды минеральной","SELECT * FROM Напитки WHERE напиток = 'вода' AND тип = 'питьевая' AND минерализация = true;"
"Скейтборд пенни борд","SELECT * FROM СпортивныеТовары WHERE спортивный_товар = 'скейтборд' AND модель = 'пенни борд';"
"Крышку термоса металлическую","SELECT * FROM Посуда WHERE изделие = 'крышка' AND материал = 'металл' AND предназначена_для = 'термос';"
"Магнитный держатель для ключей","SELECT * FROM Аксессуары WHERE аксессуар = 'держатель' AND предназначение = 'ключи' AND фиксация = 'магнитная';"
"Измеритель артериального давления полуавтоматический","SELECT * FROM МедицинскиеИзделия WHERE измерительный_прибор = 'измеритель артериального давления' AND тип = 'полуавтоматический';"
"Чехол силиконовый для айфона","SELECT * FROM Аксессуары WHERE аксессуар = 'чехол' AND материал = 'силикон' AND устройство = 'айфон';"
"Роликовый массажёр для ног","SELECT * FROM ТоварыДляЗдоровья WHERE устройство = 'массажёр' AND метод = 'роликовый' AND назначение = 'ноги';"
"Холст для рисования масляными красками","SELECT * FROM ХудожественныеМатериалы WHERE материал = 'холст' AND краски = 'масляные';"
"Электрическую плиту индукционного типа","SELECT * FROM БытоваяТехника WHERE устройство = 'плита' AND тип = 'электрическая' AND нагревательный_элемент = 'индукционный';"
"Батарею аккумуляторов литий-ионную","SELECT * FROM Электротехника WHERE батарея = true AND тип = 'литий-ионная';"
"Коробку подарочную деревянную","SELECT * FROM УпаковочныеМатериалы WHERE упаковка = 'коробка' AND назначение = 'подарочная' AND материал = 'дерево';"
"Гречку ядрицу шлифованную","SELECT * FROM Продукты WHERE продукт = 'гречка' AND сорт = 'ядрица' AND обработка = 'шлифованная';"
"Смесь детскую молочную сухая","SELECT * FROM Продукты WHERE продукт = 'детская смесь' AND основа = 'молочная' AND состояние = 'сухая';"
"Фидерную удочку телескопическую","SELECT * FROM РыболовныеИзделия WHERE изделие = 'удочка' AND тип = 'фидерная' AND конструкция = 'телескопическая';"
"Перчатки рабочие х/б с ПВХ покрытием","SELECT * FROM СпецОдеждаГде спецодежда = 'перчатка' AND материал = 'х/б' AND покрытие = 'ПВХ';"
"Набор отверток с битами","SELECT * FROM Инструменты WHERE инструмент = 'отвертка' AND комплект = true AND бит = true;"
"Шлепанцы летние женские","SELECT * FROM Обувь WHERE обувь = 'шлепанцы' AND сезон = 'летний' AND пол = 'женский';"
"Лампы дневного света линейные","SELECT * FROM Освещение WHERE осветительный_прибор = 'лампа' AND освещение = 'дневного света' AND форма = 'линейная';"
"Мастику гидроизоляционную кровельную","SELECT * FROM СтроительныеМатериалы WHERE материал = 'мастика' AND назначение = 'гидроизоляция кровли';"
"Прокладки автомобильные моторные","SELECT * FROM АвтоАксессуары WHERE аксессуар = 'прокладка' AND назначение = 'автомобиль' AND расположение = 'моторная';"
"Бритву электробритву триммер","SELECT * FROM ЛичноеИспользование WHERE устройство = 'бритва' AND тип = 'электробритва' AND дополнительный_функционал = 'триммер';"
"Стрейч плёнку прозрачную","SELECT * FROM УпаковочныеМатериалы WHERE материал = 'стрейч пленка' AND прозрачность = true;"
"Масло растительное подсолнечное","SELECT * FROM Продукты WHERE продукт = 'растительное масло' AND сырье = 'подсолнечник';"
"Детскую книжку сказку с иллюстрациями","SELECT * FROM Книги WHERE литература = 'детская' AND жанр = 'сказка' AND иллюстративность = true;"
"Сэндвич-панели с утеплителем минвата","SELECT * FROM СтроительныеМатериалы WHERE панель = 'сэндвич' AND утеплитель = 'минвата';"
"Гибкую подводку для смесителя","SELECT * FROM СанТехАрматура WHERE трубопровод = 'подводка' AND гибкость = true AND соединение = 'смеситель';"
"Домкрат гидравлический","SELECT * FROM АвтоИнструменты WHERE инструмент = 'домкрат' AND тип = 'гидравлический';"
"Огнетушитель углекислотный","SELECT * FROM ПожарнаяБезопасность WHERE средство = 'огнетушитель' AND вещество = 'углекислота';"
"Гантели разборные с замковым креплением","SELECT * FROM СпортивныеТовары WHERE спортивный_товар = 'гантели' AND разборность = true AND крепление = 'замковое';"
"Композитную черепицу","SELECT * FROM КрышиГде крыша = 'черепица' AND материал = 'композит';"
"Аэрозоль от насекомых фумигатор","SELECT * FROM СредстваОтНасекомых WHERE средство = 'фумигатор' AND форма_выпуска = 'аэрозоль';"
"Кроссовки беговые с амортизацией","SELECT * FROM Обувь WHERE обувь = 'кроссовки' AND вид_активности = 'бег' AND амортизация = true;"
"Браслет спортивный трекер активности","SELECT * FROM Аксессуары WHERE аксессуар = 'браслет' AND функциональное_предназначение = 'спортивный трекер';"
"Человеческий гормон роста (HGH)","SELECT * FROM Биодобавки WHERE биодобавка = 'гормон роста' AND биологически_активный = true;"
"Барабанные струны бронзовые","SELECT * FROM МузыкальныеАкссесуары WHERE музыкальный_аксессуар = 'струны' AND инструмент = 'барабан' AND материал = 'бронза';"
"Гейзерную кофеварку","SELECT * FROM БытоваяТехника WHERE устройство = 'кофеварка' AND тип = 'гейзерная';"
"Шампуни дегтярные","SELECT * FROM КосметикаГде косметика = 'шампунь' AND основное_действующее_вещество = 'деготь';"
"Замок навесной амбарный","SELECT * FROM ЗамочноРигельнаяСистема WHERE замок = 'навесной' AND тип = 'амбарный';"
Вывести ФИО всех сотрудников.,SELECT ФИО FROM Сотрудники;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников старше 35 лет.,SELECT * FROM Сотрудники WHERE возраст > 35;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать публикации за 2024 год.,SELECT * FROM Научные_работы WHERE год = 2024;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт математики и информатики.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт математики и информатики';
"Показать значение поля ""название"" для всех научных работ.",SELECT название FROM Научные_работы;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать должности сотрудников и названия их публикаций.,"SELECT Сотрудники.должность, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать всех сотрудников с должностью Старший преподаватель.,SELECT * FROM Сотрудники WHERE должность = 'Старший преподаватель';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Список сотрудников из Институт химии.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт химии';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
"Показать научные работы, опубликованные в журнале Химический журнал.",SELECT * FROM Научные_работы WHERE название_журнала = 'Химический журнал';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать сотрудников старше 28 лет.,SELECT * FROM Сотрудники WHERE возраст > 28;
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;"
Показать сотрудников старше 49 лет.,SELECT * FROM Сотрудники WHERE возраст > 49;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Показать публикации за 2013 год.,SELECT * FROM Научные_работы WHERE год = 2013;
"Показать значение поля ""ссылка"" для всех научных работ.",SELECT ссылка FROM Научные_работы;
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
"Показать научные работы, опубликованные в журнале Дискретная математика.",SELECT * FROM Научные_работы WHERE название_журнала = 'Дискретная математика';
Вывести оргструктура всех сотрудников.,SELECT оргструктура FROM Сотрудники;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников старше 58 лет.,SELECT * FROM Сотрудники WHERE возраст > 58;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Список сотрудников из Институт экономики и управления.,SELECT * FROM Сотрудники WHERE подразделение = 'Институт экономики и управления';
Показать сотрудников старше 54 лет.,SELECT * FROM Сотрудники WHERE возраст > 54;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать всех сотрудников.,SELECT * FROM Сотрудники;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать всех сотрудников с должностью Лаборант.,SELECT * FROM Сотрудники WHERE должность = 'Лаборант';
Показать сотрудников старше 42 лет.,SELECT * FROM Сотрудники WHERE возраст > 42;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';
"Показать научные работы, опубликованные в журнале Экономика сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика сегодня';
Показать сотрудников старше 60 лет.,SELECT * FROM Сотрудники WHERE возраст > 60;
Показать сотрудников со званием Профессор.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Профессор';
Показать сотрудников старше 31 лет.,SELECT * FROM Сотрудники WHERE возраст > 31;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать все научные работы.,SELECT * FROM Научные_работы;
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать сотрудников со званием Доцент.,SELECT * FROM Сотрудники WHERE ученое_звание = 'Доцент';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников старше 43 лет.,SELECT * FROM Сотрудники WHERE возраст > 43;
Показать все научные работы.,SELECT * FROM Научные_работы;
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;
Показать сотрудников старше 55 лет.,SELECT * FROM Сотрудники WHERE возраст > 55;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать значение поля ""автор"" для всех научных работ.",SELECT автор FROM Научные_работы;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;"
"Показать значение поля ""авторы"" для всех научных работ.",SELECT авторы FROM Научные_работы;
Показать сотрудников старше 51 лет.,SELECT * FROM Сотрудники WHERE возраст > 51;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
