Input,Expected SQL,Predicted SQL
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
По каким дисциплинам проходят экзамены у студентов?,"SELECT Дисциплины.Название, Экзамены.ДатаЭкзамена FROM Дисциплины JOIN Экзамены ON Дисциплины.id = Экзамены.Дисциплина_id;","SELECT eкзамены.id, eкзамены.id, eкзамены.id, eкзамены.id, eкзамены.id, eкзамены.id, eкзамены.id, eкзамены.id,"
Измеритель артериального давления полуавтоматический,SELECT * FROM МедицинскиеИзделия WHERE измерительный_прибор = 'измеритель артериального давления' AND тип = 'полуавтоматический';,SELECT * FROM МедицинскиеИзделия WHERE устройство = 'артериальное давление' AND управление = 'полуавтоматический';
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
"Показать значение поля ""второе_название"" для всех научных работ.",SELECT второе_название FROM Научные_работы;,SELECT второе_название FROM Научные_работы;
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Общий доход от продаж за квартал,SELECT SUM(доход) FROM Продажи WHERE квартал = 'Q1';,SELECT * FROM Акции WHERE квартал = '%Иванов%';
Вывести подразделение всех сотрудников.,SELECT подразделение FROM Сотрудники;,SELECT подразделение FROM Сотрудники;
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;,SELECT * FROM Научные_работы WHERE год = 2007;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Показать сотрудников старше 43 лет.,SELECT * FROM Сотрудники WHERE возраст > 43;,SELECT * FROM Сотрудники WHERE возраст > 43;
Полимерные упаковочные материалы,SELECT * FROM УпаковочныеМатериалы WHERE материал = 'полимер';,SELECT * FROM Материалы WHERE материал = 'полимерный';
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Доход партнёров компании и общий объём реализованной продукции через партнёрство,"SELECT pa.partner_id, pa.income, SUM(pr.product_volume) AS total_volume FROM Partners pa JOIN Partnerships ps ON pa.partner_id=ps.partner_id JOIN Products pr ON ps.product_id=pr.product_id GROUP BY pa.partner_id, pa.income;","SELECT employee_id, e.ectory_id, ec.ectory_id, ec.ectory_id, ec.ectory_id, ec.ec"
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Монтажные уголки металлические оцинкованные,SELECT * FROM Крепёж WHERE крепеж = 'монтажный уголок' AND материал = 'металл' AND покрытие = 'оцинкованный';,SELECT * FROM Инструменты WHERE инструмент = 'металл' AND материал = 'оцинкованный';
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Главные редакторы газет и журналистские расследования в ведущих СМИ,"SELECT editor_id, investigative_reports FROM NewspaperEditors ne JOIN InvestigativeJournalism ij ON ne.editor_id=ij.editor_id WHERE newspaper_audience > 1 million readers;",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';,SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать все публикации из базы цитирования Web of Science.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Web of Science';
Показать публикации за 2014 год.,SELECT * FROM Научные_работы WHERE год = 2014;,SELECT * FROM Научные_работы WHERE год = 2014;
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать сотрудников старше 26 лет.,SELECT * FROM Сотрудники WHERE возраст > 26;,SELECT * FROM Сотрудники WHERE возраст > 26;
Показать сотрудников с ученой степенью Доктор наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Доктор наук';
Переименовать существующий тег поста на другой вариант,UPDATE PostTags SET tag_name = 'New Tag Name' WHERE tag_id = 456;,"SELECT e.ect_id, ec.ect_id, ec.ect_id, ec.ect_id, ec.ect_id, ec.ect_"
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
"Показать научные работы, опубликованные в журнале Вестник информатики.",SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';,SELECT * FROM Научные_работы WHERE название_журнала = 'Вестник информатики';
Показать ФИО сотрудников и количество публикаций в Scopus.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.база_цитирования = 'Scopus' GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Вывести должность всех сотрудников.,SELECT должность FROM Сотрудники;,SELECT должность FROM Сотрудники;
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать всех сотрудников с должностью Профессор.,SELECT * FROM Сотрудники WHERE должность = 'Профессор';,SELECT * FROM Сотрудники WHERE должность = 'Профессор';
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Масло оливковое холодного отжима,SELECT * FROM Продукты WHERE продукт = 'оливковое масло' AND способ_производства = 'холодный отжим';,SELECT * FROM Масло WHERE питание = 'оливковое';
Показать сотрудников старше 38 лет.,SELECT * FROM Сотрудники WHERE возраст > 38;,SELECT * FROM Сотрудники WHERE возраст > 38;
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать ФИО сотрудников и названия их публикаций за 2022 год.,"SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.год = 2022;","SELECT Сотрудники.ФИО, Научные_работы.название FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Показать научные работы без вторых названий.,SELECT * FROM Научные_работы WHERE второе_название = '';,SELECT * FROM Научные_работы WHERE второе_название = '';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
Показать все публикации из базы цитирования РИНЦ.,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';,SELECT * FROM Научные_работы WHERE база_цитирования = 'РИНЦ';
Показать сотрудников без ученой степени.,SELECT * FROM Сотрудники WHERE ученая_степень = '';,SELECT * FROM Сотрудники WHERE ученая_степень = '';
Холст для рисования масляными красками,SELECT * FROM ХудожественныеМатериалы WHERE материал = 'холст' AND краски = 'масляные';,SELECT * FROM Продукты WHERE продукт = 'холст' AND цвет = 'маска';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Показать публикации за 2007 год.,SELECT * FROM Научные_работы WHERE год = 2007;,SELECT * FROM Научные_работы WHERE год = 2007;
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников старше 30 лет.,SELECT * FROM Сотрудники WHERE возраст > 30;,SELECT * FROM Сотрудники WHERE возраст > 30;
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
"Показать научные работы, опубликованные в журнале Экономика и управление.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';,SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика и управление';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать всех сотрудников, у которых нет научных работ.",SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS NULL;,SELECT Сотрудники.ФИО FROM Сотрудники LEFT JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.автор IS N
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
"Показать научные работы, опубликованные в журнале Экономика сегодня.",SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика сегодня';,SELECT * FROM Научные_работы WHERE название_журнала = 'Экономика сегодня';
Инвестиции в венчурное финансирование и перспективные стартапы,"SELECT venture_investment_id, promising_startup FROM VentureInvestments vi JOIN PromisingStartups ps ON vi.investment_id=ps.investment_id WHERE exit_valuation > 1 billion USD;",SELECT e.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.ec.
Показать сотрудников старше 37 лет.,SELECT * FROM Сотрудники WHERE возраст > 37;,SELECT * FROM Сотрудники WHERE возраст > 37;
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Доступность общественных парков и их посещаемость жителями соседних районов,"SELECT park_id, accessibility, visitor_count FROM Parks p JOIN ParkAccessibility pa ON p.park_id=pa.park_id;","SELECT парковки.id, парковка.id, парковка.id, парковка.id, парковка.id, парковка.id, парковка.id, парковка.id, парковка.id, парковка"
"Строительные бригады, занятые ремонтом",SELECT * FROM Бригады WHERE занятость = 'ремонт';,SELECT * FROM Бригады WHERE категория = 'ремонт';
Школьные автобусы,SELECT * FROM Автобусы WHERE назначение = 'школьный';,SELECT * FROM Автомобилы WHERE тип = 'школа';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
"Показать ФИО сотрудников, которые имеют публикации в журнале 'Журнал нанотехнологий'.",SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.название_журнала = 'Журнал нанотехнологий';,SELECT DISTINCT Сотрудники.ФИО FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Научные_работы.
"Показать значение поля ""название_журнала"" для всех научных работ.",SELECT название_журнала FROM Научные_работы;,SELECT название_журнала FROM Научные_работы;
Посчитать количество сотрудников в каждом подразделении.,"SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, COUNT(*) FROM Сотрудники GROUP BY подразделение;"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;,SELECT ученая_степень FROM Сотрудники;
Показать публикации за 2008 год.,SELECT * FROM Научные_работы WHERE год = 2008;,SELECT * FROM Научные_работы WHERE год = 2008;
Показать все научные работы.,SELECT * FROM Научные_работы;,SELECT * FROM Научные_работы;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать всех сотрудников.,SELECT * FROM Сотрудники;,SELECT * FROM Сотрудники;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Держатель для смартфона магнитный,SELECT * FROM Аксессуары WHERE аксессуар = 'держатель' AND предназначение = 'смартфон' AND фиксация = 'магнитная';,SELECT * FROM Инструменты WHERE инструмент = 'держатель' AND устройство = 'магнитный';
Показать все публикации сотрудников из Института химии.,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт химии';,SELECT Научные_работы.* FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.подразделение = 'Институт
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
Панорамные лифты,SELECT * FROM Лифты WHERE конструкция = 'панорамный';,SELECT * FROM лифты WHERE категория = 'панорамный';
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
Показать сотрудников из кафедры нанофизики или кафедры архитектурного проектирования.,"SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');","SELECT * FROM Сотрудники WHERE оргструктура IN ('Кафедра нанофизики', 'Кафедра архитектурного проектирования');"
"Показать значение поля ""год"" для всех научных работ.",SELECT год FROM Научные_работы;,SELECT год FROM Научные_работы;
Показать 5 самых молодых сотрудников.,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;,SELECT * FROM Сотрудники ORDER BY возраст ASC LIMIT 5;
Список сотрудников из Физико-технический институт.,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';,SELECT * FROM Сотрудники WHERE подразделение = 'Физико-технический институт';
Вывести ученая_степень всех сотрудников.,SELECT ученая_степень FROM Сотрудники;,SELECT ученая_степень FROM Сотрудники;
"Показать авторов и названия журналов, в которых есть публикации сотрудников старше 50 лет.","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE Сотрудники.возраст > 50;","SELECT Научные_работы.автор, Научные_работы.название_журнала FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор WHERE С"
Показать сотрудников старше 54 лет.,SELECT * FROM Сотрудники WHERE возраст > 54;,SELECT * FROM Сотрудники WHERE возраст > 54;
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать ФИО сотрудников и количество их научных работ.,"SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.ФИО;","SELECT Сотрудники.ФИО, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудник"
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать сотрудников с ученой степенью Кандидат наук.,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';,SELECT * FROM Сотрудники WHERE ученая_степень = 'Кандидат наук';
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Показать сотрудников старше 39 лет.,SELECT * FROM Сотрудники WHERE возраст > 39;,SELECT * FROM Сотрудники WHERE возраст > 39;
Показать подразделения и количество публикаций их сотрудников.,"SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY Сотрудники.подразделение;","SELECT Сотрудники.подразделение, COUNT(*) FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор GROUP BY С"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать средний возраст сотрудников по подразделениям.,"SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;","SELECT подразделение, AVG(возраст) FROM Сотрудники GROUP BY подразделение;"
"Показать научные работы, отсортированные по году публикации.",SELECT * FROM Научные_работы ORDER BY год DESC;,SELECT * FROM Научные_работы ORDER BY год DESC;
Посчитать количество публикаций в каждом журнале.,"SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;","SELECT название_журнала, COUNT(*) FROM Научные_работы GROUP BY название_журнала;"
Показать все публикации из базы цитирования Scopus.,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';,SELECT * FROM Научные_работы WHERE база_цитирования = 'Scopus';
Показать публикации за 2019 год.,SELECT * FROM Научные_работы WHERE год = 2019;,SELECT * FROM Научные_работы WHERE год = 2019;
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
Показать всех сотрудников с должностью Лаборант.,SELECT * FROM Сотрудники WHERE должность = 'Лаборант';,SELECT * FROM Сотрудники WHERE должность = 'Лаборант';
Показать количество публикаций по каждому автору.,"SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;","SELECT автор, COUNT(*) FROM Научные_работы GROUP BY автор;"
Показать ФИО сотрудников и годы публикаций их научных работ.,"SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;","SELECT Сотрудники.ФИО, Научные_работы.год FROM Сотрудники JOIN Научные_работы ON Сотрудники.ФИО = Научные_работы.автор;"
"Показать публикации, где в авторах есть Иванов.",SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';,SELECT * FROM Научные_работы WHERE авторы LIKE '%Иванов%';
